Location,Indicator,Subject,Measure,Year,Month,Frequency,Value
EA19,HUR,TOT,PC_LF,2020,03,M,7.4
EA19,HUR,TOT,PC_LF,2020,04,M,7.2
EA19,HUR,TOT,PC_LF,2020,05,M,7.7
EA19,HUR,TOT,PC_LF,2020,06,M,7.9
EA19,HUR,TOT,PC_LF,2020,07,M,8.7
EA19,HUR,TOT,PC_LF,2020,08,M,8.6
EA19,HUR,TOT,PC_LF,2020,09,M,8.5
EA19,HUR,TOT,PC_LF,2020,10,M,8.4
LVA,HUR,TOT,PC_LF,2020,01,M,7.0
LVA,HUR,TOT,PC_LF,2020,02,M,7.0
LVA,HUR,TOT,PC_LF,2020,03,M,7.3
LVA,HUR,TOT,PC_LF,2020,04,M,8.2
LVA,HUR,TOT,PC_LF,2020,05,M,8.6
LVA,HUR,TOT,PC_LF,2020,06,M,8.8
LVA,HUR,TOT,PC_LF,2020,07,M,8.8
LVA,HUR,TOT,PC_LF,2020,08,M,8.5
LVA,HUR,TOT,PC_LF,2020,09,M,8.2
LVA,HUR,TOT,PC_LF,2020,10,M,8.0
LTU,HUR,TOT,PC_LF,2020,01,M,6.1
LTU,HUR,TOT,PC_LF,2020,02,M,6.3
LTU,HUR,TOT,PC_LF,2020,03,M,6.6
LTU,HUR,TOT,PC_LF,2020,04,M,7.8
LTU,HUR,TOT,PC_LF,2020,05,M,8.5
LTU,HUR,TOT,PC_LF,2020,06,M,8.8
LTU,HUR,TOT,PC_LF,2020,07,M,9.6
LTU,HUR,TOT,PC_LF,2020,08,M,10.2
LTU,HUR,TOT,PC_LF,2020,09,M,10.5
LTU,HUR,TOT,PC_LF,2020,10,M,10.4
COL,HUR,TOT,PC_LF,2020,01,M,10.610660000000001
COL,HUR,TOT,PC_LF,2020,02,M,10.85252
COL,HUR,TOT,PC_LF,2020,03,M,12.19014
COL,HUR,TOT,PC_LF,2020,04,M,20.23626
COL,HUR,TOT,PC_LF,2020,05,M,21.13438
COL,HUR,TOT,PC_LF,2020,06,M,20.62735
COL,HUR,TOT,PC_LF,2020,07,M,19.65521
COL,HUR,TOT,PC_LF,2020,08,M,17.19132
COL,HUR,TOT,PC_LF,2020,09,M,16.611720000000002
EU27_2020,HUR,TOT,PC_LF,2020,01,M,6.5
EU27_2020,HUR,TOT,PC_LF,2020,02,M,6.5
EU27_2020,HUR,TOT,PC_LF,2020,03,M,6.6
EU27_2020,HUR,TOT,PC_LF,2020,04,M,6.6
EU27_2020,HUR,TOT,PC_LF,2020,05,M,7.0
EU27_2020,HUR,TOT,PC_LF,2020,06,M,7.2
EU27_2020,HUR,TOT,PC_LF,2020,07,M,7.8
EU27_2020,HUR,TOT,PC_LF,2020,08,M,7.7
EU27_2020,HUR,TOT,PC_LF,2020,09,M,7.6
EU27_2020,HUR,TOT,PC_LF,2020,10,M,7.6
USA,HUR,MEN,PC_LF,2020,01,M,3.6
USA,HUR,MEN,PC_LF,2020,02,M,3.6
USA,HUR,MEN,PC_LF,2020,03,M,4.4
USA,HUR,MEN,PC_LF,2020,04,M,13.5
USA,HUR,MEN,PC_LF,2020,05,M,12.2
USA,HUR,MEN,PC_LF,2020,06,M,10.6
USA,HUR,MEN,PC_LF,2020,07,M,9.8
USA,HUR,MEN,PC_LF,2020,08,M,8.3
USA,HUR,MEN,PC_LF,2020,09,M,7.7
USA,HUR,MEN,PC_LF,2020,10,M,7.0
AUS,HUR,MEN,PC_LF,2020,01,M,5.3509139999999995
AUS,HUR,MEN,PC_LF,2020,02,M,5.231085
AUS,HUR,MEN,PC_LF,2020,03,M,5.297134
AUS,HUR,MEN,PC_LF,2020,04,M,6.680489
AUS,HUR,MEN,PC_LF,2020,05,M,7.187739
AUS,HUR,MEN,PC_LF,2020,06,M,7.523157
AUS,HUR,MEN,PC_LF,2020,07,M,7.4718789999999995
AUS,HUR,MEN,PC_LF,2020,08,M,7.036308
AUS,HUR,MEN,PC_LF,2020,09,M,7.126869999999999
AUS,HUR,MEN,PC_LF,2020,10,M,6.9715110000000005
CAN,HUR,MEN,PC_LF,2020,01,M,5.8
